Collection,Subsistence,Sex,BicondylarBreadth,Index_FM
RJT,Agriculture,Male,51.51,899.888166950017
HTH,Agriculture,Female,49.36,764.086070074393
RJT,Agriculture,Male,58.18,1111.42605164242
RJT,Agriculture,Female,51.71,859.75769801251
RJT,Agriculture,Female,46.46,779.913728022444
RJT,Agriculture,Female,49.32,689.003105211026
RJT,Agriculture,Female,52.7,854.078483892983
RJT,Agriculture,Male,54.69,1025.74398148438
RJT,Agriculture,Female,49.67,821.576744396188
RJT,Agriculture,Female,48.22,789.031572380958
RJT,Agriculture,Male,49.49,726.639463740848
Leavenworth,Horticultural,Male,51.55,856.712316633937
Leavenworth,Horticultural,Male,52.75,793.29534193041
Leavenworth,Horticultural,Female,51.45,695.689985174192
Leavenworth,Horticultural,Male,51.75,917.718118975833
Leavenworth,Horticultural,Female,49.95,847.110824086403
Leavenworth,Horticultural,Male,51.5,893.390410864597
Leavenworth,Horticultural,Female,48.35,743.748498792482
Leavenworth,Horticultural,Female,48.35,829.993071115155
Leavenworth,Horticultural,Female,51.4,1001.95599899103
Leavenworth,Horticultural,Female,53.7,932.460042502804
Leavenworth,Horticultural,Female,48.05,885.622823028596
Leavenworth,Horticultural,Female,46.2,718.924026342897
Leavenworth,Horticultural,Male,51.55,1026.6155378263
Leavenworth,Horticultural,Male,48.3,954.749642380023
Leavenworth,Horticultural,Female,48.55,742.951319656633
Leavenworth,Horticultural,Male,55,954.217535124321
Leavenworth,Horticultural,Male,55.45,1095.33198663735
Leavenworth,Horticultural,Male,52.2,767.383093024519
Leavenworth,Horticultural,Male,54.5,946.090627628566
Leavenworth,Horticultural,Male,48.55,817.693735876351
Leavenworth,Horticultural,Female,47.55,775.97142194127
Leavenworth,Horticultural,Male,54.25,1031.86592454861
Leavenworth,Horticultural,Female,50.6,896.257114160998
Leavenworth,Horticultural,Female,53.85,1041.70500004057
Leavenworth,Horticultural,Female,53.9,965.270050778732
Leavenworth,Horticultural,Male,56.1,949.744692583773
Leavenworth,Horticultural,Female,53.95,841.308695154304
Leavenworth,Horticultural,Male,54.35,1005.81230397331
Leavenworth,Horticultural,Male,53.55,783.764535217582
Leavenworth,Horticultural,Male,49.55,787.646365640173
Mobridge,Horticultural,Female,52.25,591.01211795658
Mobridge,Horticultural,Female,45.25,785.932234148559
Mobridge,Horticultural,Female,52,810.978581579303
Mobridge,Horticultural,Male,52.75,846.21547018013
Mobridge,Horticultural,Female,49.65,824.088840421815
Mobridge,Horticultural,Female,51.4,792.794650601244
Mobridge,Horticultural,Male,52,946.577574489873
Mobridge,Horticultural,Female,52.3,721.784839153072
Mobridge,Horticultural,Male,52.2,781.78533184582
Mobridge,Horticultural,Female,45,692.805610419115
Mobridge,Horticultural,Female,53.1,916.088417786784
Mobridge,Horticultural,Male,55.7,921.366293444815
Mobridge,Horticultural,Female,54.25,723.155358948201
Mobridge,Horticultural,Male,47.1,737.017636532166
Mobridge,Horticultural,Male,52.6,941.582442170665
Mobridge,Horticultural,Male,55.3,923.427963623733
Mobridge,Horticultural,Male,53.85,895.950808877273
Mobridge,Horticultural,Male,47.2,982.729451951057
Mobridge,Horticultural,Female,49.25,652.273174701581
Mobridge,Horticultural,Female,48.5,640.637500910848
Mobridge,Horticultural,Male,53.6,827.475870001467
Mobridge,Horticultural,Female,49.85,745.126872569244
Mobridge,Horticultural,Female,50.4,753.275378514493
Mobridge,Horticultural,Female,50.1,742.554693584117
Mobridge,Horticultural,Male,52.15,769.423164753944
Mobridge,Horticultural,Female,52.5,758.502203291903
Mobridge,Horticultural,Male,51.65,750.824936244693
Mobridge,Horticultural,Male,56.45,1179.6052095699
Mobridge,Horticultural,Male,56.7,984.924639817753
Mobridge,Horticultural,Female,49.1,659.510618777288
Mobridge,Horticultural,Male,53.75,864.212869094382
Mobridge,Horticultural,Male,52.4,928.281724273529
Mobridge,Horticultural,Male,49.8,801.789423067553
Mobridge,Horticultural,Female,50.1,715.550741231105
Mobridge,Horticultural,Male,52.65,943.108078103064
Mobridge,Horticultural,Female,52.95,886.45338158639
Mobridge,Horticultural,Male,54.05,914.391957753845
Mobridge,Horticultural,Female,51.2,732.177620350229
Mobridge,Horticultural,Female,55.75,825.649819271567
Mobridge,Horticultural,Male,52.6,944.578736164026
Mobridge,Horticultural,Male,53.8,921.193505848867
Mobridge,Horticultural,Male,54.95,912.306725630025
Mobridge,Horticultural,Female,53.8,774.280852394557
Mobridge,Horticultural,Female,50.3,745.790534017315
