Subsistence,Collection,Sex,BicondylarBreadth,Index_FM
Agriculture,RJT,Female,53.09,786.671686519397
Agriculture,RJT,Male,54.13,950.43976995838
Agriculture,RJT,Male,42.84,1076.07755796258
Agriculture,RJT,Male,52.04,729.740608389023
Agriculture,RJT,Male,51.44,914.765178961092
Agriculture,RJT,Male,46.08,771.436925644895
Agriculture,RJT,Male,54.66,876.737142367183
Agriculture,RJT,Male,46.14,885.540827460338
Agriculture,RJT,Male,46.08,792.457479169697
Agriculture,HTH,Female,51.85,942.180915571174
Agriculture,RJT,Female,55.81,864.73798630643
Agriculture,HTH,Female,44.79,682.509040496974
Agriculture,RJT,Male,51.7,998.340968324541
Agriculture,RJT,Male,52.66,915.291081571303
Agriculture,HTH,Female,49.74,888.810754173827
Agriculture,RJT,Male,47.66,896.802573185478
Agriculture,HTH,Female,49.25,808.373808570396
Agriculture,RJT,Male,55.32,966.435110414316
Agriculture,RJT,Male,51.51,899.888166950017
Agriculture,HTH,Female,49.36,764.086070074393
Agriculture,RJT,Male,58.18,1111.42605164242
Agriculture,RJT,Female,51.71,859.75769801251
Agriculture,RJT,Female,46.46,779.913728022444
Agriculture,RJT,Female,49.32,689.003105211026
Agriculture,RJT,Female,52.7,854.078483892983
Agriculture,RJT,Male,54.69,1025.74398148438
Agriculture,RJT,Female,49.67,821.576744396188
Agriculture,RJT,Female,48.22,789.031572380958
Agriculture,RJT,Male,49.49,726.639463740848
Horticultural,Leavenworth,Male,51.55,856.712316633937
Horticultural,Leavenworth,Male,52.75,793.29534193041
Horticultural,Leavenworth,Female,51.45,695.689985174192
Horticultural,Leavenworth,Male,51.75,917.718118975833
Horticultural,Leavenworth,Female,49.95,847.110824086403
Horticultural,Leavenworth,Male,51.5,893.390410864597
Horticultural,Leavenworth,Female,48.35,743.748498792482
Horticultural,Leavenworth,Female,48.35,829.993071115155
Horticultural,Leavenworth,Female,51.4,1001.95599899103
Horticultural,Leavenworth,Female,53.7,932.460042502804
Horticultural,Leavenworth,Female,48.05,885.622823028596
Horticultural,Leavenworth,Female,46.2,718.924026342897
Horticultural,Leavenworth,Male,51.55,1026.6155378263
Horticultural,Leavenworth,Male,48.3,954.749642380023
Horticultural,Leavenworth,Female,48.55,742.951319656633
Horticultural,Leavenworth,Male,55,954.217535124321
Horticultural,Leavenworth,Male,55.45,1095.33198663735
Horticultural,Leavenworth,Male,52.2,767.383093024519
Horticultural,Leavenworth,Male,54.5,946.090627628566
Horticultural,Leavenworth,Male,48.55,817.693735876351
Horticultural,Leavenworth,Female,47.55,775.97142194127
Horticultural,Leavenworth,Male,54.25,1031.86592454861
Horticultural,Leavenworth,Female,50.6,896.257114160998
Horticultural,Leavenworth,Female,53.85,1041.70500004057
Horticultural,Leavenworth,Female,53.9,965.270050778732
Horticultural,Leavenworth,Male,56.1,949.744692583773
Horticultural,Leavenworth,Female,53.95,841.308695154304
Horticultural,Leavenworth,Male,54.35,1005.81230397331
Horticultural,Leavenworth,Male,53.55,783.764535217582
Horticultural,Leavenworth,Male,49.55,787.646365640173
Horticultural,Mobridge,Female,52.25,591.01211795658
Horticultural,Mobridge,Female,45.25,785.932234148559
Horticultural,Mobridge,Female,52,810.978581579303
Horticultural,Mobridge,Male,52.75,846.21547018013
Horticultural,Mobridge,Female,49.65,824.088840421815
Horticultural,Mobridge,Female,51.4,792.794650601244
Horticultural,Mobridge,Male,52,946.577574489873
Horticultural,Mobridge,Female,52.3,721.784839153072
Horticultural,Mobridge,Male,52.2,781.78533184582
Horticultural,Mobridge,Female,45,692.805610419115
Horticultural,Mobridge,Female,53.1,916.088417786784
Horticultural,Mobridge,Male,55.7,921.366293444815
Horticultural,Mobridge,Female,54.25,723.155358948201
Horticultural,Mobridge,Male,47.1,737.017636532166
Horticultural,Mobridge,Male,52.6,941.582442170665
Horticultural,Mobridge,Male,55.3,923.427963623733
Horticultural,Mobridge,Male,53.85,895.950808877273
Horticultural,Mobridge,Male,47.2,982.729451951057
Horticultural,Mobridge,Female,49.25,652.273174701581
Horticultural,Mobridge,Female,48.5,640.637500910848
Horticultural,Mobridge,Male,53.6,827.475870001467
