Group,Site,SiteNo,Obs,Feature,Burial,Sex,MLC,MWC,MND,BCB,MXID,LFM,WFM,LBP
Arikara,Larson,39WW2,118,201,6A,M,23.10,15.35,25.65,49.50,44.50,38.55,32.30,25.50
Arikara,Larson,39WW2,119,201,6B,F,25.55,14.00,19.65,50.50,43.20,36.85,28.20,24.55
Arikara,Larson,39WW2,120,201,7B,M,23.75,16.20,23.15,52.80,47.15,43.35,33.00,26.00
Arikara,Larson,39WW2,121,201,l4D,F,25.80,15.05,15.80,53.70,45.80,32.50,27.60,24.00
Arikara,Larson,39WW2,122,201,l9D,F,24.40,16.50,18.10,50.85,45.80,32.70,28.70,22.20
Arikara,Larson,39WW2,123,201,22B,M,21.00,13.85,18.30,47.05,42.85,33.45,28.50,22.50
Arikara,Larson,39WW2,124,201,26B,F,26.60,15.90,19.60,51.80,44.45,33.50,26.65,21.00
Arikara,Larson,39WW2,125,201,32B,M,26.10,15.40,18.80,49.35,43.50,36.15,28.60,28.20
Arikara,Larson,39WW2,126,201,32C,M,27.00,15.60,20.85,53.85,49.65,36.80,35.95,27.05
Arikara,Larson,39WW2,127,201,35C,F,24.75,12.20,17.10,46.75,44.20,32.60,27.20,19.30
Arikara,Larson,39WW2,128,201,132,F,24.65,13.35,20.90,50.90,46.55,33.40,28.45,24.50
Arikara,Larson,39WW2,129,201,135,F,24.70,14.85,19.10,54.65,47.90,35.25,30.00,26.75
Arikara,Larson,39WW2,130,201,137C,F,22.50,15.15,16.45,54.55,45.95,31.50,29.65,24.10
Arikara,Larson,39WW2,131,201,141B,F,24.15,15.75,17.90,52.00,46.90,36.25,28.05,24.10
Arikara,Larson,39WW2,132,201,142,F,25.55,17.50,21.80,55.05,47.30,35.90,29.35,25.25
Arikara,Larson,39WW2,133,201,l45D,M,22.80,16.40,21.80,52.10,47.40,36.60,28.80,27.80
Arikara,Larson,39WW2,134,201,l48D,F,23.60,12.05,24.90,53.20,49.65,32.35,31.15,26.70
Arikara,Larson,39WW2,135,201,148G,M,25.45,15.10,18.25,47.10,39.70,37.40,29.60,27.20
Arikara,Larson,39WW2,136,301,2B,F,23.30,14.05,18.90,51.10,45.80,35.55,29.90,25.65
Arikara,Larson,39WW2,137,301,2F,M,23.85,14.45,23.70,55.40,49.40,38.55,33.70,28.60
Arikara,Larson,39WW2,138,301,3H,M,25.40,13.95,20.10,53.60,49.85,36.45,30.00,28.50
Arikara,Larson,39WW2,139,301,11,M,22.50,14.15,25.65,55.35,50.75,37.55,33.95,30.90
Arikara,Larson,39WW2,140,301,12C,M,24.25,14.20,23.40,59.15,53.90,39.30,33.40,25.60
Arikara,Larson,39WW2,141,301,16,F,27.40,14.20,18.15,54.00,46.15,37.60,29.95,24.20
Arikara,Larson,39WW2,142,301,19D,M,20.70,14.40,22.35,55.80,53.40,39.30,32.55,22.05
Arikara,Larson,39WW2,143,301,27D,M,24.60,15.90,21.15,56.15,49.85,40.75,33.60,25.35
Arikara,Larson,39WW2,144,301,29B,F,25.00,14.20,17.55,52.65,44.95,32.00,25.90,26.40
Arikara,Larson,39WW2,145,301,33C,F,22.75,15.05,18.95,50.70,46.75,33.40,29.95,23.40
Arikara,Larson,39WW2,146,301,36B,F,26.20,15.00,17.15,54.30,48.65,38.10,31.10,25.00
Arikara,Larson,39WW2,147,301,37,F,29.95,11.90,20.05,55.65,48.00,36.05,30.90,25.85
